5
3 8 1
114162 569932 -102444 -400264
344139 110352 -871679 -51838
306413 13723 -141929 -99047
514949 652506 -404971 -305520
389909 22477 -153575 -652506
234427 57211 -828189 -380354
574127 419539 -383049 -73322
21585 298007 -43071 -39731
262391 564966 -178401 -336688
49486 439464 -234357 -175062
22660 237938 -97695 -472724
14550 549459 -41360 -282443
123410 182294 -2384 -549459
404971 87270 -433732 -182294
154235 255040 -138740 -405358
417663 379967 -878241 -17866
383049 36898 -417408 -379967
178401 146832 -460243 -844361
97695 816579 -316436 -253714
186944 727861 -168037 -192248
41360 51797 -297595 -727861
316436 263289 -56434 -22953
413082 151747 -210178 -263289
168037 125822 -105188 -81097
342135 334243 -221602 -167034
682736 299073 -427719 -334243
62361 194332 -133134 -194382
583353 64326 -160768 -661250
247796 468896 -258613 -64326
56434 497740 -277252 -69750
210178 29529 -934374 -497740
105188 147611 -126626 -278360
92833 290838 -470395 -176803
35027 344691 -156565 -384157
73001 46829 -251253 -22849
160768 19492 -115416 -536676
433584 400384 -32192 -285175
126626 198577 -4063 -6737
380090 959676 -474292 -198577
215030 379939 -69795 -59860
